MONTH_DATE,MONTH,YEAR,TOTAL_FLIGHTS,TOTAL_DELAYED_FLIGHTS,TOTAL_CANCELLED_FLIGHTS,AVG_DELAY
2015-01-01,1,2015,295,106,10,1.431579
2015-03-01,3,2015,15,9,0,26.000000
