IATA_CODE,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,LOAD_TIMESTAMP,AIRPORT_SIZE_CATEGORY,REGION,CONTINENT_GROUP,LOCATION_VALIDATION,RECORD_YEAR
BOS,Boston,MA,USA,42.36435,-71.00518,2025-11-26 03:35:24.903 -0800,REGIONAL,NORTHEAST,NORTH_AMERICA,VALID,2025
BPT,Beaumont/Port Arthur,TX,USA,29.95083,-94.02069,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
BQK,Brunswick,GA,USA,31.25903,-81.46631,2025-11-26 03:35:24.903 -0800,REGIONAL,SOUTH,NORTH_AMERICA,VALID,2025
BQN,Aguadilla,PR,USA,18.49486,-67.12944,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
BRD,Brainerd,MN,USA,46.39786,-94.13723,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
BRO,Brownsville,TX,USA,25.90683,-97.42586,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
BRW,Barrow,AK,USA,71.28545,-156.766,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
BTM,Butte,MT,USA,45.9548,-112.49746,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
BTR,Baton Rouge,LA,USA,30.53316,-91.14963,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
BTV,Burlington,VT,USA,44.473,-73.15031,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
BUF,Buffalo,NY,USA,42.94052,-78.73217,2025-11-26 03:35:24.903 -0800,MEDIUM,NORTHEAST,NORTH_AMERICA,VALID,2025
BUR,Burbank,CA,USA,34.20062,-118.3585,2025-11-26 03:35:24.903 -0800,LARGE,WEST,NORTH_AMERICA,VALID,2025
BWI,Baltimore,MD,USA,39.1754,-76.6682,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
BZN,Bozeman,MT,USA,45.7769,-111.15301,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
CAE,Columbia,SC,USA,33.93884,-81.11954,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
CAK,Akron,OH,USA,40.91631,-81.44247,2025-11-26 03:35:24.903 -0800,REGIONAL,MIDWEST,NORTH_AMERICA,VALID,2025
CDC,Cedar City,UT,USA,37.70097,-113.09858,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
CDV,Cordova,AK,USA,60.49183,-145.47765,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
CEC,Crescent City,CA,USA,41.78016,-124.23653,2025-11-26 03:35:24.903 -0800,LARGE,WEST,NORTH_AMERICA,VALID,2025
CHA,Chattanooga,TN,USA,35.03527,-85.20379,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
CHO,Charlottesville,VA,USA,38.13864,-78.45286,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
CHS,Charleston,SC,USA,32.89865,-80.04051,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
CID,Cedar Rapids,IA,USA,41.88459,-91.71087,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
CIU,Sault Ste. Marie,MI,USA,46.25075,-84.47239,2025-11-26 03:35:24.903 -0800,REGIONAL,MIDWEST,NORTH_AMERICA,VALID,2025
