DATE_SK,YEAR,MONTH,DAY
7eb78036004e735c5fd01175d35ece0a,2015,1,1
c3978f265ad30069226c4c96ab850dde,2015,1,2
b1eab75b2e884cb33853e3942c455caa,2015,1,3
e7243cb0bd61d806dd61dd7deeee720d,2015,1,4
710d84a31db3233eb0e76b4bd068ef63,2015,1,5
a82102554ad1f68790616d78b51c8087,2015,1,6
4ba18fb58f738581356391633810698c,2015,1,7
9318256340ddfd6173fa4a87e2307473,2015,1,8
6610d3f1f6c0cf1e1148a9c24a5b9f10,2015,1,9
925f47530a283824250bbb8ccd5412ae,2015,1,10
c3a45ac3750c183624f0be0b1e41f5fa,2015,1,11
2a7bdfcdb44868e4a74413a8eca6da6c,2015,1,12
d6ee203e9bf236da5784c6e642e89f94,2015,1,13
07bc53e455a9c7cc709be77b9ea86044,2015,1,14
88eee6c6800031482ee4e8dc77195197,2015,1,15
ed8eca496b5a1cf0277344f3b80b89ef,2015,1,16
33995b5f5f38e2917da5ca4a81fa4463,2015,1,17
0ba1afc82e1c7bac7014196b3cc008cd,2015,1,18
0371a59703f50c64de3f5b837f534280,2015,1,19
0d02fbda20e3e32bc7ac70d98afdad7e,2015,1,20
c242998d1ea0933b7e5f1968a20c3012,2015,1,21
0c7f3807d376f818dd7fa6ed68ed7e59,2015,1,22
2e34bd3dea123ede7fc3ee0a477c1f8d,2015,1,23
f5aafb0eb5727bb9ec0f73fa6ca3ed0a,2015,1,24
d438a3d6edce7834820102cfb769b4e4,2015,1,25
bf48187b05485528afa7c72c81552b39,2015,1,26
29324dfcb03270a86703667328a3f56b,2015,1,27
08c839a0e452176c1ff27d1c5ad2ed8d,2015,1,28
e3d8725ebd616d08cce3eb0e9d6d94db,2015,1,29
3808c9eb4c9ecd4451f0097f81940e88,2015,1,30
0383bd387941eaa58356fa81cd2552d6,2015,1,31
a20cc0f68edc83f19af9354b8701f303,2015,2,1
ddd7ceb67159aa19624e1a79ededccff,2015,2,2
f60c67544ec4ad8f780f81a859b8b296,2015,2,3
5737c27af8413738d4b7fa8fe9a3852b,2015,2,4
e8942f89bf4258adf85a74af8654d775,2015,2,5
59b8ebbbd85524d17d3bd151e43b7ac4,2015,2,6
f9a05d40b9f0661bedc31dcd131085f8,2015,2,7
ae9661b3210f498f4a23db17e5dcaec9,2015,2,8
0769db22b08d8dd981ce414f19290eae,2015,2,9
5cbd0233cc04bebae672a7323ee412ac,2015,2,10
01fe98ef89c96fa05b11ef5684b69029,2015,2,11
d885c72e327610c02a01c8c2fb838bc1,2015,2,12
22f3fdf0eb732464a7647001c8fa7a67,2015,2,13
3f49c9d7e0e3755358cab07be62534b0,2015,2,14
acb4936c10dcd048ebfef4e8391c98b7,2015,2,15
efa74c91b7a52996a12d1305ba10b8e1,2015,2,16
ffe712b6d1345331118846fbae3eeb7a,2015,2,17
bdb50e73723bb5a991a62394a7be95e3,2015,2,18
3890095247303c0867953402026a6cf1,2015,2,19
be96c874561d6f161611ca7c7b80e932,2015,2,20
2c62b11772ad1fd6e6d4c9aa5c892b4b,2015,2,21
b1b2b3b739f34d8f5ae46128b25beab9,2015,2,22
d8322e7312d69a877851d69cab744077,2015,2,23
53add348bd32076d0cd0e6af86119b74,2015,2,24
455d16b1c8bcb3a7ee61931805e323a5,2015,2,25
2bf73fcc444a9bfb14b2482d96c6afc5,2015,2,26
2fd692bb7b320eaacb6069caf05d7f4d,2015,2,27
82e4ac2ca06384b21d3d64f6f8abf1d9,2015,2,28
2dbf1d14a7b52175597f677b68452976,2015,3,1
1f72139a9bae2d1093dae7432c1b2a9e,2015,3,2
5f2f466c138adeced1de4e7a697a2cd8,2015,3,3
b40e3da353a0f609254857bbac43c8bb,2015,3,4
907dd950ba40345331da5023749c198a,2015,3,5
157c16fbb37668c8ef43bd18b624f98c,2015,3,6
0a58f4299184c0bc0692c01bcec7d8f8,2015,3,7
fd069b22a3837eb4384e20661fb5fa9b,2015,3,8
19906af7c4256ff5e4eb33c7e1f42a8e,2015,3,9
dd4bfe3e6556530819a5fac8da83e514,2015,3,10
89e11d7f365e398239600ae85c8e2f68,2015,3,11
97a850b8e3e88eb7057e9c962eaa24fc,2015,3,12
35b2432e48f3edf8e9d291eb7330ba70,2015,3,13
da7226f38a3f3c5fc03f1d7fa7859730,2015,3,14
77f12a6f6b2e92cc999f231a7ff7b502,2015,3,15
8d89fb1b037870169172a35193b8a022,2015,3,16
0fcace4bc5944a4dc7e197f267a2c209,2015,3,17
ac63e2ac142a479e7b151b210c62c049,2015,3,18
a6d8d7e555bb02e788adac3785334089,2015,3,19
c49e31045e8c58a04f7bb00cce93e7e0,2015,3,20
9ff24a05ec54a7d9f179cd59ff35f1c4,2015,3,21
10ffd1c9f5256f96a03d39121d6a59d1,2015,3,22
0e29c56eab169ffc8ed007582d416fcc,2015,3,23
d16c24f999f473f23309689040b9beb9,2015,3,24
9c298bb96129111047d512a57d78ab6d,2015,3,25
09e413534ac5a787bcfabe48f35abdca,2015,3,26
a0efb1d4bdba166f9046c15701e990d8,2015,3,27
d77eb480e650587b4a9662c495b636ed,2015,3,28
544e57873e709382db5e20b10218c1b5,2015,3,29
3b8ed79ee90b28616c52f6090089dcaf,2015,3,30
2eb5c1c21798cb6de2757bcf4d9ab5ab,2015,3,31
a5351cf2fcd0d96c2dc2e1af87d6c59c,2015,4,1
0e1096737ad15063a85f4577f95b7504,2015,4,2
6580654c7d1df6b80e7ba8056344d2f0,2015,4,3
49ba758b0eea6e4106dfe1a84e05069c,2015,4,4
f56050537ab50b51180b40c0d19bbcc5,2015,4,5
f46def1a6cf7b52be0bc422d207fe566,2015,4,6
a43602093316a6af3c8acb9a31e3de81,2015,4,7
9183bb75a3a2fb0d399843755c93f911,2015,4,8
bcd36449af5cd8c6e5f1ce9fae0af0e2,2015,4,9
2c5c33658edf7ebe7999e646c547ec08,2015,4,10
bef01c4c87ea28fa68b66b3deb0393e3,2015,4,11
8c4f3e8ca27cd064b788a950663f90be,2015,4,12
c8e01dc28bea549e293de958688460e6,2015,4,13
6a7cc3df16a656265852f38dfc926e0b,2015,4,14
ead63bca00c113d3074e610d4c06cda4,2015,4,15
5ea39977bd74f1852978ea78c90d9857,2015,4,16
277f878e92c3ba0000b1eeb22784e0ed,2015,4,17
8bc81e89218e72693ef1ff4689387363,2015,4,18
56bf20dbfbee0d0156ce1094abccd2f2,2015,4,19
2f3cd61230096238de23b4e050ee6fad,2015,4,20
ad441fa25e5f8ef14571dfe8a2a59bb7,2015,4,21
298c6e47a4ed3474a7ab89eb408f666a,2015,4,22
6fd9e389d96a4843c04bcfdfa3bc7ce8,2015,4,23
36d0d4e5e69d785b81b46a286dbf3952,2015,4,24
151a132976b7d095f3822be434edd76a,2015,4,25
0005c9a97294d5cf49f7e5675020e127,2015,4,26
28b0d769443521a9b7f15669da1c91a1,2015,4,27
b61c1b28581b28fe775d5729b9e4488c,2015,4,28
fdf8b11fa79e99e473cf01cafacdfcbf,2015,4,29
22ca592492ece1d7456a969d445638d0,2015,4,30
4494942470c0a6eec7059264092a810e,2015,5,1
abcc306698deebeb8f7d85cf22891dd2,2015,5,2
5df56f72fde670c42f27b50fedc3d473,2015,5,3
e92ffea77c33c6a9d76e60456c3e6668,2015,5,4
d47acef2bbcf72e2fbc030a6ce43664e,2015,5,5
5c2f1f8fcb79d83d3c593911779d3af2,2015,5,6
739b807343bdd07d79f3c0f55517fb97,2015,5,7
389369b15140a8994932146c0b1f4a0b,2015,5,8
df3690386356955d19731dca040a6a26,2015,5,9
c85bd5dd0f0050c1be5c0326d1fe6785,2015,5,10
fd2eae933ec27911659e168dda085ea8,2015,5,11
e089fa6cc70b63c0e08f61e5df6abb17,2015,5,12
bbb907b9275c6a41fb9d5cc9fa12a206,2015,5,13
082a2f9905c2881fd61bc1276c10e25e,2015,5,14
d20022be4841f14ef3a7ebf13d3a58ea,2015,5,15
9bd9b7000dbb7991bdd4117c4ab1cccb,2015,5,16
241a51b8490724e92e60bf26a60c2229,2015,5,17
b7277ea2371b82fe45bae86c3897b0ba,2015,5,18
84e63b2f90a86d817412e997aaec6ac5,2015,5,19
2de03ea3b62f609121a4c98af0f59add,2015,5,20
c92c2e81241d400849e00b4d898f9e57,2015,5,21
2cbe9c05bdf40725131fcc8d24952531,2015,5,22
fead5d2912498cf667934c92355c8641,2015,5,23
cefda8656468bfecb832db5a843ab1a5,2015,5,24
d1935d06872ae86bb5b52830045036a8,2015,5,25
d195302219ab3d3ccf00bb65fedaa74a,2015,5,26
1af6c66b2667a951bfdf2d6f46c25941,2015,5,27
12340cb98685a2c1ac945deed8762547,2015,5,28
9b1f73f969b30e0e489d9cfc2164057b,2015,5,29
bb721855d60da09c491c3c3b734a9bcc,2015,5,30
c517b929834a3f9f0264971cf4ce0ad0,2015,5,31
a8b2833da8282cc2e53c7c0451b35149,2015,6,1
20de9ebfc7458dd174a900c152fd3873,2015,6,2
03e80bca0d1712ee060f043304d930e8,2015,6,3
79cccc62d1fb148910ad4b6fe9629314,2015,6,4
ad464708891119156b26c3f598635e3f,2015,6,5
3dbe94bb7e5cd3decc2e2a06a80f5eba,2015,6,6
061a66dc9e2480821a99ed081c4051ff,2015,6,7
002549031f238bd23f87677045dd81d2,2015,6,8
f587e2de8f7c2e3cad6ece88108b31f8,2015,6,9
1375df4774d24c39847badabde800229,2015,6,10
48b3fe819ee4e2a1ce796a3f3e7aa25f,2015,6,11
fa3a120cd47dac51ed13d37491a1f767,2015,6,12
d2767c1e09b70aebf6c8303a33fe9ddf,2015,6,13
7039819584f5001261eeb8b2dcd97882,2015,6,14
6ccfaa713e766d7957eff6304d90cbf1,2015,6,15
050c29fd00e363587d0b02810316ae60,2015,6,16
0749164a34247cc85afab0f1ad9efe64,2015,6,17
743fc61e69d3a234f6c115a46ff640aa,2015,6,18
03ec43605472506c67533341e9592865,2015,6,19
a94f12eea8038c11fd99b85a722fdd4f,2015,6,20
f61289b1210d3a4ec472ef9e4bf59ea4,2015,6,21
341a708c572714cb5ec2eb014b26118d,2015,6,22
5323987fb612e2e773e3284e277e4818,2015,6,23
c748360d8b6f2748aa63a4eff96e4dbe,2015,6,24
b7f0fac0248fa3bf070410a920825e9e,2015,6,25
4bb5214af43907cd87eeb7186f5a3b7b,2015,6,26
5b13f734ad12b5589d976958e924de0e,2015,6,27
93898e0b53ae38747ea774459567fb4f,2015,6,28
146fe21e5a187cbbbe4b31693c87408c,2015,6,29
41b9645e87d274ededaf65066fea5f6e,2015,6,30
e234ca3e4f4a29f4c31c60fa47ec6233,2015,7,1
7a9fbd35668205572b6a6532a71122fb,2015,7,2
ac848ae0b7eefbde8da9c704f4c3f4f3,2015,7,3
31d4d75c0065b322b405d101f229314a,2015,7,4
af015b34077cf3bd83c12da3fdbdc3ee,2015,7,5
c7b1bed6b3b613d8980fa803ef9618ae,2015,7,6
bd2727fa79e4ec7f2444205b53e6453e,2015,7,7
c4133626c652576d0e081af18d50443c,2015,7,8
a74e8299067c1d6f96a6133470306c12,2015,7,9
ea02401f472d16512ff45be9330ca3eb,2015,7,10
fea52fa8f626016bb82377f818ff078f,2015,7,11
db6fd0a16a4964cf7bdd1570a780d910,2015,7,12
66a1f8f6ddc6e061bc7bcd8d9f44b7fe,2015,7,13
ceed69e29afe40159c6b5f7bfd32b984,2015,7,14
7ee13ff89fc9a8c8ff3b8cc4b27f29db,2015,7,15
b41b5918936293bc605e35453bc8f570,2015,7,16
c2ae97ce0d6d72c5943733ce773e6b7f,2015,7,17
cc1a8b89d3f324cbb6d088cd4f3f9118,2015,7,18
c3bfe6fbe3a2b22d916cb0a8f99dd45a,2015,7,19
5aaa8cfc932c325ee48d54e391420c48,2015,7,20
dfd7b63f037dfe85116e8732f9fecc9d,2015,7,21
aa0ab4d3f7529318e10d42cf33582821,2015,7,22
f7cb6165910e1aedf584e2f883ce7a63,2015,7,23
ea64859de475a4b9d43bebf5e9a860f9,2015,7,24
22438da04aae805c5eb6416d4ab66a67,2015,7,25
32c492ef836f9a1d692fac5aef7a4482,2015,7,26
