DATE_SK,AIRLINE_SK,ORIGIN_AIRPORT_SK,DESTINATION_AIRPORT_SK,DEPARTURE_DELAY,ARRIVAL_DELAY,TOTAL_DELAY,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DISTANCE,CANCELLED,DIVERTED,ON_TIME_FLAG,LOAD_TIMESTAMP,FLIGHT_DATE
7eb78036004e735c5fd01175d35ece0a,f5ce9f5cb682a1f863d5a8c51ac28683,00a25a0eed961a97a2a312ed96b66a23,9abd3d9b983e99aa1fd94837498b0bea,-14,-24,-38,0.00000,0.00000,0.00000,0.00000,0.00000,1448,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,3943d8795e03e8e3307b5b71eac1b669,f3b69be0f57a9519705082d49cc75ed6,16398053b0ee1ac75460202a32bee818,-6,-7,-13,0.00000,0.00000,0.00000,0.00000,0.00000,1635,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,a2c29192484301fa800100e16e494acf,00a25a0eed961a97a2a312ed96b66a23,08a601c7e8befa1393c348508a878db1,-4,-18,-22,0.00000,0.00000,0.00000,0.00000,0.00000,1542,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,f5ce9f5cb682a1f863d5a8c51ac28683,08a601c7e8befa1393c348508a878db1,4b6544406098f683478fca26b2589e6d,-5,-12,-17,0.00000,0.00000,0.00000,0.00000,0.00000,1426,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,93437597656efdb384976096b6261386,f1f5aacec9d4156166560b9a5cb62640,f046b60ddd9950a7fb55d24968b9a53c,25,6,31,0.00000,0.00000,0.00000,0.00000,0.00000,1139,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,3b98e2dffc6cb06a89dcb0d5c60a0206,9abd3d9b983e99aa1fd94837498b0bea,637d536065e18d89c0f1c21fce509ce1,-8,1,-7,0.00000,0.00000,0.00000,0.00000,0.00000,2724,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,93437597656efdb384976096b6261386,f1f5aacec9d4156166560b9a5cb62640,af4e41ea70cda97b3e606647516dd6db,-1,-1,-2,0.00000,0.00000,0.00000,0.00000,0.00000,1055,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,3b98e2dffc6cb06a89dcb0d5c60a0206,1656b5b29550d4c6dd8ba4dee070f631,637d536065e18d89c0f1c21fce509ce1,-2,-12,-14,0.00000,0.00000,0.00000,0.00000,0.00000,2342,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,f5ce9f5cb682a1f863d5a8c51ac28683,f1f5aacec9d4156166560b9a5cb62640,4b6544406098f683478fca26b2589e6d,-3,-23,-26,0.00000,0.00000,0.00000,0.00000,0.00000,1299,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,3943d8795e03e8e3307b5b71eac1b669,1656b5b29550d4c6dd8ba4dee070f631,16398053b0ee1ac75460202a32bee818,-3,-11,-14,0.00000,0.00000,0.00000,0.00000,0.00000,1379,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,a2c29192484301fa800100e16e494acf,58f2f62b0cd18a2eb6f9f1819fda82f8,9abd3d9b983e99aa1fd94837498b0bea,-8,-3,-11,0.00000,0.00000,0.00000,0.00000,0.00000,1533,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
